StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q11,Q17,Q17,Q19,Q21,Q26,Q27,Q28,Q18,Q20,Q23,Q24,Q26,Q27,Q29 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trails,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category).",Q29 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID29_TEXT_77540d44a0a84b7c96d62ef5Topics""}"
2018-05-27 18:03:56,2018-05-27 18:05:25,Offline,97.116.7.220,100,0,True,2018-05-27 18:06:58,R_j8vnJQQlxrY6Y4Q,,,,,44.980159,-93.079895,,EN,GE,Ramsey County,Long Lake Regional Park,1,May,27,2018,2:00-4:00 PM,Yes,,1,3,198,0,0,0,Unknown
2018-05-27 18:02:18,2018-05-27 18:03:51,Offline,97.116.7.220,100,0,True,2018-05-27 18:06:58,R_iOuvHMO6ZszM2uQ,,,,,44.980159,-93.079895,,EN,GE,Ramsey County,Rice Creek West Regional Trail,1,May,27,2018,12:00-2:00 PM,Yes,,0,0,0,0,0,0,Unknown
2018-05-30 07:45:57,2018-05-30 07:46:13,IP Address,156.98.134.224,100,15,True,2018-05-30 07:46:13,R_3FOnY281rjtoosm,,,,,44.980159,-93.079895,anonymous,EN,GE,Ramsey County,Rice Creek North Regional Trail,2,May,27,2018,10:00-12:00 PM,Yes,,23,51,0,0,0,0,Unknown
2018-05-27 12:04:33,2018-05-27 12:06:18,Offline,156.98.179.1,100,0,True,2018-05-30 08:21:50,R_1pk6xYisMzm2XlS,,,,,44.927795410156,-93.116203308105,,EN,RL,Ramsey County,Keller Regional Park,1,May,27,2018,10:00-12:00 PM,Yes,,1,9,40,0,0,0,Unknown
2018-05-27 09:13:18,2018-05-27 10:11:13,Offline,156.98.179.1,100,0,True,2018-05-30 08:21:51,R_fpwuDl1lvR8BHmb,,,,,44.927795410156,-93.116203308105,,EN,KL,Ramsey County,Lakes Link Regional Trail,6,May,27,2018,8:00-10:00 AM,Yes,,6,12,0,0,0,0,Unknown
2018-05-26 10:16:24,2018-05-26 10:20:42,Offline,156.98.179.1,100,0,True,2018-05-30 08:21:53,R_nbRRa1df1sOJVhn,,,,,44.927795410156,-93.116203308105,,EN,RL,Ramsey County,Birch Lake Regional Park,6,May,26,2018,8:00-10:00 AM,Yes,,1,3,0,0,0,0,Unknown
2018-05-30 08:28:30,2018-05-30 08:29:48,IP Address,156.98.134.224,100,78,True,2018-05-30 08:29:50,R_1BRvPggLoKqGTUC,,,,,44.927795410156,-93.116203308105,anonymous,EN,RL,Ramsey County,Highway 96 Regional Trail,8,May,26,2018,10:00-12:00 PM,Yes,,6,2,0,0,0,0,Unknown
2018-05-30 12:15:23,2018-05-30 12:17:50,Offline,97.116.7.220,100,0,True,2018-05-30 12:19:35,R_bFavPMram9Ey78v,,,,,44.979908,-93.079865,,EN,GE,Ramsey County,Rice Creek North Regional Trail,1,May,29,2018,10:00-12:00 PM,Yes,,6,7,7,1,0,0,Unknown
