StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q14,Q17,Q17,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
2018-07-13 13:51:32,2018-07-13 13:54:09,Survey Preview,,100,156,True,2018-07-13 13:54:09,R_3nARlnbKElvxY6A,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Cedar Lake Farm Regional Park,2,June,21,2018,12:00-2:00 PM,Yes,,0,0,0,0,0,5
2018-07-13 13:54:15,2018-07-13 13:54:59,Survey Preview,,100,44,True,2018-07-13 13:55:00,R_0vqXG18r2YlOyrf,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Cedar Lake Farm Regional Park,2,May,26,2018,8:00-10:00 AM,Yes,,0,0,0,0,0,0
2018-07-13 13:55:02,2018-07-13 13:55:59,Survey Preview,,100,57,True,2018-07-13 13:55:59,R_3eYJkbYQz3mGZFf,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Spring Lake Regional Park,1,June,4,2018,6:00-8:00 PM,Yes,,0,5,4,0,0,0
2018-07-13 13:56:05,2018-07-13 13:56:49,Survey Preview,,100,43,True,2018-07-13 13:56:49,R_2VpCYlP3zM6bRam,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Spring Lake Regional Park,3,June,3,2018,4:00-6:00 PM,Yes,,0,6,0,0,0,0
2018-07-13 13:56:51,2018-07-13 13:58:04,Survey Preview,,100,73,True,2018-07-13 13:58:05,R_25GhUjsz41hGmXe,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Scott County Regional Trail,9,June,4,2018,4:00-6:00 PM,Yes,,0,0,0,0,0,0
2018-07-13 13:58:06,2018-07-13 13:58:45,Survey Preview,,100,38,True,2018-07-13 13:58:45,R_1q1ZDtfI1a8qJv2,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Scott County Regional Trail,17,June,3,2018,2:00-4:00 PM,Yes,,3,1,0,0,0,0
2018-07-13 13:58:46,2018-07-13 13:59:45,Survey Preview,,100,58,True,2018-07-13 13:59:45,R_9zTL5EjaLtEbD69,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Scott County Regional Trail,1,May,28,2018,10:00-12:00 PM,Yes,,1,33,21,0,0,0
2018-07-13 13:59:52,2018-07-13 14:00:24,Survey Preview,,100,32,True,2018-07-13 14:00:24,R_1MVX1ieuhfn7fYg,,,,,45.005905151367,-93.43049621582,preview,EN,JS,Scott County,Scott County Regional Trail,1,May,29,2018,4:00-6:00 PM,Yes,,0,0,0,0,0,0
