StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q8,Q17,Q17,Q19,Q21,Q26,Q27,Q28,Q21,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
6/3/2018 14:38,6/3/2018 14:40,Offline,173.17.30.75,100,0,TRUE,6/3/2018 14:42,R_fkyUq91toIjiwEv,,,,,44.845227,-93.556097,,EN,AW,Carver County,Minnesota River Bluffs Regional Trail,1,June,3,2018,12:00-2:00 PM,Yes,,16,4,0,0,0,0
6/3/2018 8:58,6/3/2018 14:38,Offline,173.17.30.75,100,0,TRUE,6/3/2018 14:42,R_dw9ipVqXQ8vwWoM,,,,,44.845227,-93.555975,,EN,AW,Carver County,Southwest Regional Trail,1,June,3,2018,10:00-12:00 PM,Yes,,7,10,0,0,0,0
6/8/2018 16:32,6/8/2018 16:33,Offline,173.17.30.75,100,0,TRUE,6/8/2018 16:33,R_hTDG7T0D1UE5FhJ,,,,,44.845141,-93.555989,,EN,AW,Carver County,Lake Minnewashta Regional Park,2,June,8,2018,2:00-4:00 PM,Yes,,0,10,0,0,0,0
6/8/2018 16:30,6/8/2018 16:32,Offline,173.17.30.75,100,0,TRUE,6/8/2018 16:33,R_iG5wqZ1I2DjsakL,,,,,44.845281,-93.55597,,EN,AW,Carver County,Minnesota River Bluffs Regional Trail,6,June,8,2018,10:00-12:00 PM,Yes,,0,0,0,0,0,0
6/8/2018 16:29,6/8/2018 16:30,Offline,173.17.30.75,100,0,TRUE,6/8/2018 16:33,R_6XSYnA0LJDeHlHx,,,,,44.845169,-93.55612,,EN,AW,Carver County,Southwest Regional Trail,3,June,8,2018,8:00-10:00 AM,Yes,,2,1,0,0,0,0
6/10/2018 19:02,6/10/2018 19:03,Offline,173.17.30.75,100,0,TRUE,6/10/2018 19:03,R_hqFSyaLOSoAhodg,,,,,44.84521,-93.556095,,EN,AW,Carver County,Lake Minnewashta Regional Park,1,June,10,2018,4:00-6:00 PM,Yes,,0,0,52,0,0,0
6/17/2018 11:04,6/17/2018 11:05,Offline,173.17.30.75,100,0,TRUE,6/17/2018 11:05,R_0jK5DJKoCwSEQuc,,,,,44.845181,-93.556005,,EN,AW,Carver County,Lake Minnewashta Regional Park,2,June,17,2018,8:00-10:00 AM,Yes,,0,0,0,0,0,0
6/20/2018 12:25,6/20/2018 12:26,Offline,173.17.30.75,100,0,TRUE,6/20/2018 12:26,R_fOhtynh8E6Jk2me,,,,,44.845185,-93.556047,,EN,AW,Carver County,Lake Minnewashta Regional Park,1,June,20,2018,10:00-12:00 PM,Yes,,0,0,44,0,0,0
