StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q29,Q1,Q6,Q17,Q18,Q20,Q22,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}"
5/28/2018 12:49,5/28/2018 12:50,Offline,66.41.128.169,100,0,TRUE,5/28/2018 12:52,R_h07DH6N4Var6mU7,,,,,45.16520691,-93.18890381,,EN,Jm,Anoka County,Rice Creek Chain of Lakes Park Reserve,5,May,27,2018,2:00-4:00 PM,Yes,,0,2,0,0,0,0
5/28/2018 12:48,5/28/2018 12:49,Offline,66.41.128.169,100,0,TRUE,5/28/2018 12:52,R_jkCmLWcLk4keV0c,,,,,45.16520691,-93.18890381,,EN,Jm,Anoka County,Rice Creek North Regional Trail,6,May,27,2018,12:00-2:00 PM,Yes,,1,4,0,0,0,0
6/3/2018 10:19,6/3/2018 10:20,Offline,66.41.128.169,100,0,TRUE,6/3/2018 10:20,R_3NaG9eZYQwBKHsB,,,,,45.127094,-93.246091,,EN,Jm,Anoka County,Mississippi West Regional Park,2,June,3,2018,8:00-10:00 AM,Yes,,1,1,0,0,0,0
6/3/2018 10:18,6/3/2018 10:19,Offline,66.41.128.169,100,0,TRUE,6/3/2018 10:20,R_lPdLiEpvkNO2ZoR,,,,,45.12718,-93.246309,,EN,Jm,Anoka County,Coon Creek Regional Trail,8,June,2,2018,12:00-2:00 PM,Yes,,0,2,0,0,0,0
6/3/2018 10:16,6/3/2018 10:17,Offline,66.41.128.169,100,0,TRUE,6/3/2018 10:20,R_9fomnMYdYy0geTm,,,,,45.12718,-93.246309,,EN,Jm,Anoka County,Bunker Hills Regional Park,3,June,2,2018,10:00-12:00 PM,Yes,,3,5,0,0,0,0
6/4/2018 16:30,6/4/2018 16:31,Offline,68.46.105.6,100,0,TRUE,6/4/2018 16:36,R_oyIEWEZfy05Dymq,,,,,45.16749573,-93.24759674,,EN,Mc,Anoka County,Coon Rapids Dam Regional Park,1,June,3,2018,6:00-8:00 PM,Yes,,46,63,78,0,0,0
6/4/2018 16:28,6/4/2018 16:30,Offline,68.46.105.6,100,0,TRUE,6/4/2018 16:36,R_mc09nL5lHbf4y5c,,,,,45.16749573,-93.24759674,,EN,Mc,Anoka County,Mississippi River Regional Trail,5,June,3,2018,4:00-6:00 PM,Yes,,10,42,0,0,0,0
6/4/2018 16:27,6/4/2018 16:28,Offline,68.46.105.6,100,0,TRUE,6/4/2018 16:36,R_1eITKRuuHOJII7D,,,,,45.16749573,-93.24759674,,EN,Mc,Anoka County,Central Anoka County Regional Trail,1,June,2,2018,4:00-6:00 PM,Yes,,8,7,0,0,0,0
